Sample,S_thick,S_topo,err_int,age,err_ext,P_sp,P_mu,elev,lat,long,group,bedrock
06-PUG-014_CPT,0.9833,0.9997,3.79E+02,1.58E+04,5.38E+02,4.03,0.18,12,48.46559,-123.00402,CPT,FALSE
07-PUG-015-CPT,0.963,0.9999,3.89E+02,1.43E+04,5.19E+02,4.05,0.181,37,48.45919,-123.01839,CPT,FALSE
07-PUG-017-CPT,0.971,0.9999,4.12E+02,1.51E+04,5.51E+02,4.04,0.18,26,48.45736,-123.01197,CPT,FALSE
07-PUG-018-CPT,0.971,0.9999,4.08E+02,1.58E+04,5.58E+02,4.05,0.18,27,48.45736,-123.01197,CPT,FALSE
07-PUG-019-CPT,0.9354,0.9994,4.28E+02,1.47E+04,5.57E+02,4.09,0.183,74,48.45586,-122.97794,CPT,FALSE
07-PUG-020-CPT,0.9833,0.9998,3.53E+02,1.47E+04,5.01E+02,4.31,0.184,77,48.45675,-122.97939,CPT,FALSE
07-PUG-021-CPT,0.9727,0.9991,3.15E+02,1.47E+04,4.74E+02,4.25,0.183,73,48.45720,-122.98835,CPT,FALSE
07-PUG-022-CPT,0.963,0.9996,4.16E+02,1.38E+04,5.33E+02,4.11,0.182,51,48.45660,-122.98565,CPT,FALSE
08-PUG-023-GPT,0.963,0.9901,4.06E+02,1.36E+04,5.21E+02,4.11,0.182,60,48.49174,-122.69372,GPT,FALSE
08-PUG-024-GPT,0.967,0.9963,3.50E+02,1.33E+04,4.74E+02,4.15,0.182,60,48.49174,-122.69372,GPT,FALSE
08-PUG-025-GPT,0.951,0.9929,3.41E+02,1.34E+04,4.70E+02,3.89,0.179,16,48.49088,-122.6953,GPT,FALSE
06-PUG-013-CPT,0.967,1,3.65E+02,1.44E+04,5.03E+02,4.27,0.184,84,48.45853,-122.98431,CPT,FALSE
07-PUG-016-CPT,0.9432,0.995,3.16E+02,1.34E+04,4.52E+02,3.84,0.179,9,48.45736,-123.01197,CPT,FALSE
06-PUG-009-CPT,0.9833,1,2.83E+02,1.38E+04,4.37E+02,4.2,0.182,51,48.46195,-123.01400,CPT,FALSE
06-PUG-003-COL,0.9817,1,3.17E+02,1.62E+04,5.04E+02,4.21,0.183,60,48.01962,-122.42713,WHID,FALSE
MT-CON-1-1,0.9919,0.9998,7.93E+02,1.44E+04,8.66E+02,8,0.231,731,48.677494,-122.83102,MT-CON,TRUE
MT-CON-1-2,0.9919,1,4.26E+02,1.35E+04,5.36E+02,8.01,0.231,733,48.677494,-122.83102,MT-CON,TRUE
MT-CON-1-3,0.9919,1,1.22E+03,1.55E+04,1.27E+03,8.01,0.231,733.5,48.677494,-122.83102,MT-CON,TRUE
MT-CON-1-4,0.9919,0.9631,6.11E+02,1.45E+04,7.04E+02,6.1,0.211,468,48.6548,-122.8347,MT-CON,TRUE
MT-CON-1-5,0.9919,0.9706,6.72E+02,1.45E+04,7.57E+02,6.23,0.212,481.6,48.6548,-122.8347,MT-CON,TRUE
09-WHID-003-NGT,0.9751,0.995,5.93E+02,1.31E+04,6.72E+02,4.07,0.181,37,48.37001667,-121.34685,WHID,FALSE
09-WHID-004-GSR,0.9916,1,4.93E+02,1.27E+04,5.80E+02,4.62,0.188,138,48.401401,-122.639781,GSR,TRUE
09-PUG-006-GPT,0.967,0.995,4.25E+02,9.76E+03,4.86E+02,4.15,0.182,60,48.49088,-122.6953,GPT,FALSE
09-WHID-001-HOL,0.9751,1,2.44E+03,6.72E+03,2.45E+03,4.1,0.181,39,48.240881,-122.719363,WHID,FALSE
10-PUG-043-GPT,0.967,0.995,5.98E+02,1.47E+04,6.95E+02,4.15,0.182,60,48.49088,-122.6953,GPT,FALSE
10-PUG-044-GPT,0.967,0.995,7.55E+02,2.09E+04,9.08E+02,4.21,0.183,75,48.49088,-122.6953,GPT,FALSE
10-PUG-040-GSR,0.9916,0.995,3.62E+02,1.78E+04,5.62E+02,4.64,0.188,146.3039953,48.40152,-122.64001,GSR,TRUE
10-PUG-041-GSR,0.9916,1,5.02E+02,1.66E+04,6.41E+02,4.65,0.188,144.9323954,48.40179,-122.64005,GSR,TRUE
10-PUG-042-GSR,0.9916,1,5.63E+02,1.76E+04,7.05E+02,4.66,0.188,145.9992,48.40145,-122.64001,GSR,TRUE
12-CPJ-03-ME,0.9751,0.94,3.20E+02,1.43E+04,4.71E+02,4.31,0.189,142,46.86503333,-122.57875,SS,FALSE
12-CPJ-04-GIB,0.9751,0.94,3.03E+02,1.47E+04,4.66E+02,4.32,0.189,146,46.86718333,-122.5595667,SS,FALSE
